Gene_num,Gene_name,NodeType
87,APLN-TRAN,Gene-TRAN
88,APLNR-TRAN,Gene-TRAN
89,APOA1-TRAN,Gene-TRAN
90,APOA2-TRAN,Gene-TRAN
91,APOA5-TRAN,Gene-TRAN
92,APOC3-TRAN,Gene-TRAN
93,AQP7-TRAN,Gene-TRAN
94,ARAF-TRAN,Gene-TRAN
95,ARAP3-TRAN,Gene-TRAN
96,AREG-TRAN,Gene-TRAN
97,ARF1-TRAN,Gene-TRAN
98,ARF6-TRAN,Gene-TRAN
99,ARHGDIA-TRAN,Gene-TRAN
100,ARHGDIB-TRAN,Gene-TRAN
101,ARHGDIG-TRAN,Gene-TRAN
102,ARHGEF12-TRAN,Gene-TRAN
103,ARNT-TRAN,Gene-TRAN
104,ARRB1-TRAN,Gene-TRAN
105,ARRB2-TRAN,Gene-TRAN
106,ASPH-TRAN,Gene-TRAN
107,ATF2-TRAN,Gene-TRAN
108,ATF4-TRAN,Gene-TRAN
109,ATF6B-TRAN,Gene-TRAN
110,ATG12-TRAN,Gene-TRAN
111,ATG16L1-TRAN,Gene-TRAN
112,ATG5-TRAN,Gene-TRAN
113,ATM-TRAN,Gene-TRAN
114,ATP1A1-TRAN,Gene-TRAN
115,ATP1A2-TRAN,Gene-TRAN
116,ATP1A3-TRAN,Gene-TRAN
117,ATP1A4-TRAN,Gene-TRAN
118,ATP1B1-TRAN,Gene-TRAN
119,ATP1B2-TRAN,Gene-TRAN
120,ATP1B3-TRAN,Gene-TRAN
121,ATP1B4-TRAN,Gene-TRAN
122,ATP2A1-TRAN,Gene-TRAN
123,ATP2A2-TRAN,Gene-TRAN
124,ATP2A3-TRAN,Gene-TRAN
125,ATP2B1-TRAN,Gene-TRAN
126,ATP2B2-TRAN,Gene-TRAN
127,ATP2B3-TRAN,Gene-TRAN
128,ATP2B4-TRAN,Gene-TRAN
129,ATP6V1A-TRAN,Gene-TRAN
130,ATP6V1B1-TRAN,Gene-TRAN
131,ATP6V1B2-TRAN,Gene-TRAN
132,ATP6V1C1-TRAN,Gene-TRAN
133,ATP6V1C2-TRAN,Gene-TRAN
134,ATP6V1D-TRAN,Gene-TRAN
135,ATP6V1E1-TRAN,Gene-TRAN
136,ATP6V1E2-TRAN,Gene-TRAN
137,ATP6V1F-TRAN,Gene-TRAN
138,ATP6V1G1-TRAN,Gene-TRAN
139,ATP6V1G2-TRAN,Gene-TRAN
140,ATP6V1G3-TRAN,Gene-TRAN
141,ATP6V1H-TRAN,Gene-TRAN
142,ATR-TRAN,Gene-TRAN
143,ATXN1-TRAN,Gene-TRAN
144,ATXN1L-TRAN,Gene-TRAN
145,AVP-TRAN,Gene-TRAN
146,AVPR1A-TRAN,Gene-TRAN
147,AVPR1B-TRAN,Gene-TRAN
148,AVPR2-TRAN,Gene-TRAN
149,AXIN1-TRAN,Gene-TRAN
150,AXIN2-TRAN,Gene-TRAN
151,AZI2-TRAN,Gene-TRAN
152,BAD-TRAN,Gene-TRAN
153,BAG4-TRAN,Gene-TRAN
154,BAMBI-TRAN,Gene-TRAN
155,BAX-TRAN,Gene-TRAN
156,BBC3-TRAN,Gene-TRAN
157,BCAR1-TRAN,Gene-TRAN
158,BCL10-TRAN,Gene-TRAN
159,BCL2-TRAN,Gene-TRAN
160,BCL2A1-TRAN,Gene-TRAN
161,BCL2L1-TRAN,Gene-TRAN
162,BCL2L11-TRAN,Gene-TRAN
163,BCL3-TRAN,Gene-TRAN
164,BCL6-TRAN,Gene-TRAN
165,BDKRB1-TRAN,Gene-TRAN
166,BDKRB2-TRAN,Gene-TRAN
167,BDNF-TRAN,Gene-TRAN
168,BECN1-TRAN,Gene-TRAN
169,BECN2-TRAN,Gene-TRAN
170,BEX3-TRAN,Gene-TRAN
171,BID-TRAN,Gene-TRAN
172,BIRC2-TRAN,Gene-TRAN
173,BIRC3-TRAN,Gene-TRAN
174,BIRC5-TRAN,Gene-TRAN
175,BLNK-TRAN,Gene-TRAN
176,BMP2-TRAN,Gene-TRAN
177,BMP4-TRAN,Gene-TRAN
178,BMP5-TRAN,Gene-TRAN
179,BMP6-TRAN,Gene-TRAN
180,BMP7-TRAN,Gene-TRAN
181,BMP8A-TRAN,Gene-TRAN
182,BMP8B-TRAN,Gene-TRAN
183,BMPR1A-TRAN,Gene-TRAN
184,BMPR1B-TRAN,Gene-TRAN
185,BMPR2-TRAN,Gene-TRAN
186,BNIP3-TRAN,Gene-TRAN
187,BOC-TRAN,Gene-TRAN
188,BORCS8-MEF2B-TRAN,Gene-TRAN
189,BRAF-TRAN,Gene-TRAN
190,BRAP-TRAN,Gene-TRAN
191,BRCA1-TRAN,Gene-TRAN
192,BRCC3-TRAN,Gene-TRAN
193,BTC-TRAN,Gene-TRAN
194,BTK-TRAN,Gene-TRAN
195,BTRC-TRAN,Gene-TRAN
196,BUB1B-PAK6-TRAN,Gene-TRAN
197,CAB39-TRAN,Gene-TRAN
198,CAB39L-TRAN,Gene-TRAN
199,CACNA1A-TRAN,Gene-TRAN
200,CACNA1B-TRAN,Gene-TRAN
201,CACNA1C-TRAN,Gene-TRAN
202,CACNA1D-TRAN,Gene-TRAN
203,CACNA1E-TRAN,Gene-TRAN
204,CACNA1F-TRAN,Gene-TRAN
205,CACNA1G-TRAN,Gene-TRAN
206,CACNA1H-TRAN,Gene-TRAN
207,CACNA1I-TRAN,Gene-TRAN
208,CACNA1S-TRAN,Gene-TRAN
209,CACNA2D1-TRAN,Gene-TRAN
210,CACNA2D2-TRAN,Gene-TRAN
211,CACNA2D3-TRAN,Gene-TRAN
212,CACNA2D4-TRAN,Gene-TRAN
213,CACNB1-TRAN,Gene-TRAN
214,CACNB2-TRAN,Gene-TRAN
215,CACNB3-TRAN,Gene-TRAN
216,CACNB4-TRAN,Gene-TRAN
217,CACNG1-TRAN,Gene-TRAN
218,CACNG2-TRAN,Gene-TRAN
219,CACNG3-TRAN,Gene-TRAN
220,CACNG4-TRAN,Gene-TRAN
221,CACNG5-TRAN,Gene-TRAN
222,CACNG6-TRAN,Gene-TRAN
223,CACNG7-TRAN,Gene-TRAN
224,CACNG8-TRAN,Gene-TRAN
225,CACYBP-TRAN,Gene-TRAN
226,CALM1-TRAN,Gene-TRAN
227,CALM2-TRAN,Gene-TRAN
228,CALM3-TRAN,Gene-TRAN
229,CALML3-TRAN,Gene-TRAN
230,CALML4-TRAN,Gene-TRAN
231,CALML5-TRAN,Gene-TRAN
232,CALML6-TRAN,Gene-TRAN
233,CAMK1-TRAN,Gene-TRAN
234,CAMK1D-TRAN,Gene-TRAN
235,CAMK1G-TRAN,Gene-TRAN
236,CAMK2A-TRAN,Gene-TRAN
237,CAMK2B-TRAN,Gene-TRAN
238,CAMK2D-TRAN,Gene-TRAN
239,CAMK2G-TRAN,Gene-TRAN
240,CAMK4-TRAN,Gene-TRAN
241,CAMKK2-TRAN,Gene-TRAN
242,CAMP-TRAN,Gene-TRAN
243,CARD10-TRAN,Gene-TRAN
244,CARD11-TRAN,Gene-TRAN
245,CARD14-TRAN,Gene-TRAN
246,CARD16-TRAN,Gene-TRAN
247,CARD18-TRAN,Gene-TRAN
248,CARD6-TRAN,Gene-TRAN
249,CARD8-TRAN,Gene-TRAN
250,CARD9-TRAN,Gene-TRAN
251,CASP1-TRAN,Gene-TRAN
252,CASP10-TRAN,Gene-TRAN
253,CASP12-TRAN,Gene-TRAN
254,CASP3-TRAN,Gene-TRAN
255,CASP4-TRAN,Gene-TRAN
256,CASP5-TRAN,Gene-TRAN
257,CASP7-TRAN,Gene-TRAN
258,CASP8-TRAN,Gene-TRAN
259,CASP9-TRAN,Gene-TRAN
260,CASQ1-TRAN,Gene-TRAN
261,CASQ2-TRAN,Gene-TRAN
262,CASR-TRAN,Gene-TRAN
263,CASTOR1-TRAN,Gene-TRAN
264,CAT-TRAN,Gene-TRAN
265,CBL-TRAN,Gene-TRAN
266,CBLB-TRAN,Gene-TRAN
267,CCKAR-TRAN,Gene-TRAN
268,CCKBR-TRAN,Gene-TRAN
269,CCL1-TRAN,Gene-TRAN
270,CCL11-TRAN,Gene-TRAN
271,CCL13-TRAN,Gene-TRAN
272,CCL14-TRAN,Gene-TRAN
273,CCL15-TRAN,Gene-TRAN
274,CCL16-TRAN,Gene-TRAN
275,CCL17-TRAN,Gene-TRAN
276,CCL18-TRAN,Gene-TRAN
277,CCL19-TRAN,Gene-TRAN
278,CCL2-TRAN,Gene-TRAN
279,CCL20-TRAN,Gene-TRAN
280,CCL21-TRAN,Gene-TRAN
281,CCL22-TRAN,Gene-TRAN
282,CCL23-TRAN,Gene-TRAN
283,CCL24-TRAN,Gene-TRAN
284,CCL25-TRAN,Gene-TRAN
285,CCL26-TRAN,Gene-TRAN
286,CCL27-TRAN,Gene-TRAN
287,CCL28-TRAN,Gene-TRAN
288,CCL3-TRAN,Gene-TRAN
289,CCL4-TRAN,Gene-TRAN
290,CCL5-TRAN,Gene-TRAN
291,CCL7-TRAN,Gene-TRAN
292,CCL8-TRAN,Gene-TRAN
293,CCN2-TRAN,Gene-TRAN
294,CCNA1-TRAN,Gene-TRAN
295,CCNA2-TRAN,Gene-TRAN
296,CCNB1-TRAN,Gene-TRAN
297,CCNB2-TRAN,Gene-TRAN
298,CCNB3-TRAN,Gene-TRAN
299,CCND1-TRAN,Gene-TRAN
300,CCND2-TRAN,Gene-TRAN
301,CCND3-TRAN,Gene-TRAN
302,CCNE1-TRAN,Gene-TRAN
303,CCNE2-TRAN,Gene-TRAN
304,CCNG1-TRAN,Gene-TRAN
305,CCNG2-TRAN,Gene-TRAN
306,CCR1-TRAN,Gene-TRAN
307,CCR10-TRAN,Gene-TRAN
308,CCR2-TRAN,Gene-TRAN
309,CCR3-TRAN,Gene-TRAN
310,CCR4-TRAN,Gene-TRAN
311,CCR5-TRAN,Gene-TRAN
312,CCR6-TRAN,Gene-TRAN
313,CCR7-TRAN,Gene-TRAN
314,CCR8-TRAN,Gene-TRAN
315,CCR9-TRAN,Gene-TRAN
316,CD14-TRAN,Gene-TRAN
317,CD19-TRAN,Gene-TRAN
318,CD209-TRAN,Gene-TRAN
319,CD22-TRAN,Gene-TRAN
320,CD247-TRAN,Gene-TRAN
321,CD28-TRAN,Gene-TRAN
322,CD36-TRAN,Gene-TRAN
323,CD38-TRAN,Gene-TRAN
324,CD3E-TRAN,Gene-TRAN
325,CD4-TRAN,Gene-TRAN
326,CD40-TRAN,Gene-TRAN
327,CD40LG-TRAN,Gene-TRAN
328,CD72-TRAN,Gene-TRAN
329,CD79A-TRAN,Gene-TRAN
330,CD79B-TRAN,Gene-TRAN
331,CD80-TRAN,Gene-TRAN
332,CD82-TRAN,Gene-TRAN
333,CD86-TRAN,Gene-TRAN
334,CD8A-TRAN,Gene-TRAN
335,CD8B-TRAN,Gene-TRAN
336,CD8B2-TRAN,Gene-TRAN
337,CDC25B-TRAN,Gene-TRAN
338,CDC37-TRAN,Gene-TRAN
339,CDC42-TRAN,Gene-TRAN
340,CDH1-TRAN,Gene-TRAN
341,CDK1-TRAN,Gene-TRAN
342,CDK2-TRAN,Gene-TRAN
343,CDK4-TRAN,Gene-TRAN
344,CDK6-TRAN,Gene-TRAN
345,CDKN1A-TRAN,Gene-TRAN
346,CDKN1B-TRAN,Gene-TRAN
347,CDKN2A-TRAN,Gene-TRAN
348,CDKN2B-TRAN,Gene-TRAN
349,CDKN2D-TRAN,Gene-TRAN
350,CDON-TRAN,Gene-TRAN
351,CEBPB-TRAN,Gene-TRAN
352,CER1-TRAN,Gene-TRAN
353,CFLAR-TRAN,Gene-TRAN
354,CFTR-TRAN,Gene-TRAN
355,CGA-TRAN,Gene-TRAN
356,CHAD-TRAN,Gene-TRAN
357,CHD8-TRAN,Gene-TRAN
358,CHEK1-TRAN,Gene-TRAN
359,CHEK2-TRAN,Gene-TRAN
360,CHRD-TRAN,Gene-TRAN
361,CHRM1-TRAN,Gene-TRAN
362,CHRM2-TRAN,Gene-TRAN
363,CHRM3-TRAN,Gene-TRAN
364,CHRM5-TRAN,Gene-TRAN
365,CHRNA7-TRAN,Gene-TRAN
366,CHUK-TRAN,Gene-TRAN
367,CIR1-TRAN,Gene-TRAN
368,CISH-TRAN,Gene-TRAN
369,CLEC1B-TRAN,Gene-TRAN
370,CLEC4D-TRAN,Gene-TRAN
371,CLEC4E-TRAN,Gene-TRAN
372,CLEC4M-TRAN,Gene-TRAN
373,CLEC6A-TRAN,Gene-TRAN
374,CLEC7A-TRAN,Gene-TRAN
375,CLIP1-TRAN,Gene-TRAN
376,CNGA1-TRAN,Gene-TRAN
377,CNGA2-TRAN,Gene-TRAN
378,CNGA3-TRAN,Gene-TRAN
379,CNGA4-TRAN,Gene-TRAN
380,CNGB1-TRAN,Gene-TRAN
381,CNGB3-TRAN,Gene-TRAN
382,CNR1-TRAN,Gene-TRAN
383,CNTF-TRAN,Gene-TRAN
384,CNTFR-TRAN,Gene-TRAN
385,COL1A1-TRAN,Gene-TRAN
386,COL1A2-TRAN,Gene-TRAN
387,COL2A1-TRAN,Gene-TRAN
388,COL3A1-TRAN,Gene-TRAN
389,COL4A1-TRAN,Gene-TRAN
390,COL4A2-TRAN,Gene-TRAN
391,COL4A3-TRAN,Gene-TRAN
392,COL4A4-TRAN,Gene-TRAN
393,COL4A5-TRAN,Gene-TRAN
394,COL4A6-TRAN,Gene-TRAN
395,COL6A1-TRAN,Gene-TRAN
396,COL6A2-TRAN,Gene-TRAN
397,COL6A3-TRAN,Gene-TRAN
398,COL6A5-TRAN,Gene-TRAN
399,COL6A6-TRAN,Gene-TRAN
400,COL9A1-TRAN,Gene-TRAN
401,COL9A2-TRAN,Gene-TRAN
402,COL9A3-TRAN,Gene-TRAN
403,COMP-TRAN,Gene-TRAN
404,COP1-TRAN,Gene-TRAN
405,CPT1A-TRAN,Gene-TRAN
406,CPT1B-TRAN,Gene-TRAN
407,CPT1C-TRAN,Gene-TRAN
408,CPT2-TRAN,Gene-TRAN
409,CREB1-TRAN,Gene-TRAN
410,CREB3-TRAN,Gene-TRAN
411,CREB3L1-TRAN,Gene-TRAN
412,CREB3L2-TRAN,Gene-TRAN
413,CREB3L3-TRAN,Gene-TRAN
414,CREB3L4-TRAN,Gene-TRAN
415,CREB5-TRAN,Gene-TRAN
416,CREBBP-TRAN,Gene-TRAN
417,CRK-TRAN,Gene-TRAN
418,CRKL-TRAN,Gene-TRAN
419,CRLF2-TRAN,Gene-TRAN
420,CRTC2-TRAN,Gene-TRAN
421,CSF1-TRAN,Gene-TRAN
422,CSF1R-TRAN,Gene-TRAN
423,CSF2-TRAN,Gene-TRAN
424,CSF2RA-TRAN,Gene-TRAN
425,CSF2RB-TRAN,Gene-TRAN
426,CSF3-TRAN,Gene-TRAN
427,CSF3R-TRAN,Gene-TRAN
428,CSH1-TRAN,Gene-TRAN
429,CSH2-TRAN,Gene-TRAN
430,CSN2-TRAN,Gene-TRAN
431,CSNK1A1-TRAN,Gene-TRAN
432,CSNK1A1L-TRAN,Gene-TRAN
433,CSNK1D-TRAN,Gene-TRAN
434,CSNK1E-TRAN,Gene-TRAN
435,CSNK1G1-TRAN,Gene-TRAN
436,CSNK1G2-TRAN,Gene-TRAN
437,CSNK1G3-TRAN,Gene-TRAN
438,CSNK2A1-TRAN,Gene-TRAN
439,CSNK2A2-TRAN,Gene-TRAN
440,CSNK2A3-TRAN,Gene-TRAN
441,CSNK2B-TRAN,Gene-TRAN
442,CTBP1-TRAN,Gene-TRAN
443,CTBP2-TRAN,Gene-TRAN
444,CTF1-TRAN,Gene-TRAN
445,CTLA4-TRAN,Gene-TRAN
446,CTNNA1-TRAN,Gene-TRAN
447,CTNNA2-TRAN,Gene-TRAN
448,CTNNA3-TRAN,Gene-TRAN
449,CTNNB1-TRAN,Gene-TRAN
450,CTNNBIP1-TRAN,Gene-TRAN
451,CTNND1-TRAN,Gene-TRAN
452,CTNND2-TRAN,Gene-TRAN
453,CTSB-TRAN,Gene-TRAN
454,CTSD-TRAN,Gene-TRAN
455,CUL1-TRAN,Gene-TRAN
456,CUL3-TRAN,Gene-TRAN
457,CX3CL1-TRAN,Gene-TRAN
458,CX3CR1-TRAN,Gene-TRAN
459,CXCL1-TRAN,Gene-TRAN
460,CXCL10-TRAN,Gene-TRAN
461,CXCL11-TRAN,Gene-TRAN
462,CXCL12-TRAN,Gene-TRAN
463,CXCL13-TRAN,Gene-TRAN
464,CXCL14-TRAN,Gene-TRAN
465,CXCL16-TRAN,Gene-TRAN
466,CXCL2-TRAN,Gene-TRAN
467,CXCL3-TRAN,Gene-TRAN
468,CXCL5-TRAN,Gene-TRAN
469,CXCL6-TRAN,Gene-TRAN
470,CXCL8-TRAN,Gene-TRAN
471,CXCL9-TRAN,Gene-TRAN
472,CXCR1-TRAN,Gene-TRAN
473,CXCR2-TRAN,Gene-TRAN
474,CXCR3-TRAN,Gene-TRAN
475,CXCR4-TRAN,Gene-TRAN
476,CXCR5-TRAN,Gene-TRAN
477,CXCR6-TRAN,Gene-TRAN
478,CXXC4-TRAN,Gene-TRAN
479,CYBA-TRAN,Gene-TRAN
480,CYBB-TRAN,Gene-TRAN
481,CYCS-TRAN,Gene-TRAN
482,CYLD-TRAN,Gene-TRAN
483,CYP17A1-TRAN,Gene-TRAN
484,CYP27A1-TRAN,Gene-TRAN
485,CYP7A1-TRAN,Gene-TRAN
486,CYP8B1-TRAN,Gene-TRAN
487,CYSLTR1-TRAN,Gene-TRAN
488,CYSLTR2-TRAN,Gene-TRAN
489,CYTH1-TRAN,Gene-TRAN
490,CYTH2-TRAN,Gene-TRAN
491,CYTH3-TRAN,Gene-TRAN
492,CYTH4-TRAN,Gene-TRAN
493,DAAM1-TRAN,Gene-TRAN
494,DAAM2-TRAN,Gene-TRAN
495,DAB2IP-TRAN,Gene-TRAN
496,DAPP1-TRAN,Gene-TRAN
497,DAXX-TRAN,Gene-TRAN
498,DBI-TRAN,Gene-TRAN
499,DCHS1-TRAN,Gene-TRAN
500,DCHS2-TRAN,Gene-TRAN
501,DCN-TRAN,Gene-TRAN
502,DDB2-TRAN,Gene-TRAN
503,DDIT3-TRAN,Gene-TRAN
504,DDIT4-TRAN,Gene-TRAN
505,DDX3X-TRAN,Gene-TRAN
506,DEFB4A-TRAN,Gene-TRAN
507,DEFB4B-TRAN,Gene-TRAN
508,DEPDC5-TRAN,Gene-TRAN
509,DEPTOR-TRAN,Gene-TRAN
510,DHH-TRAN,Gene-TRAN
511,DHX33-TRAN,Gene-TRAN
512,DHX58-TRAN,Gene-TRAN
513,DIAPH1-TRAN,Gene-TRAN
514,DISP1-TRAN,Gene-TRAN
515,DKK1-TRAN,Gene-TRAN
516,DKK2-TRAN,Gene-TRAN
517,DKK4-TRAN,Gene-TRAN
518,DLG1-TRAN,Gene-TRAN
519,DLG2-TRAN,Gene-TRAN
520,DLG3-TRAN,Gene-TRAN
521,DLG4-TRAN,Gene-TRAN
522,DLG5-TRAN,Gene-TRAN
523,DLL1-TRAN,Gene-TRAN
524,DLL3-TRAN,Gene-TRAN
525,DLL4-TRAN,Gene-TRAN
526,DNM1L-TRAN,Gene-TRAN
527,DOCK2-TRAN,Gene-TRAN
528,DOCK4-TRAN,Gene-TRAN
529,DRD1-TRAN,Gene-TRAN
530,DRD2-TRAN,Gene-TRAN
531,DRD5-TRAN,Gene-TRAN
532,DTX1-TRAN,Gene-TRAN
533,DTX2-TRAN,Gene-TRAN
534,DTX3-TRAN,Gene-TRAN
535,DTX3L-TRAN,Gene-TRAN
536,DTX4-TRAN,Gene-TRAN
537,DUSP1-TRAN,Gene-TRAN
538,DUSP10-TRAN,Gene-TRAN
539,DUSP16-TRAN,Gene-TRAN
540,DUSP2-TRAN,Gene-TRAN
541,DUSP3-TRAN,Gene-TRAN
542,DUSP4-TRAN,Gene-TRAN
543,DUSP5-TRAN,Gene-TRAN
544,DUSP6-TRAN,Gene-TRAN
545,DUSP7-TRAN,Gene-TRAN
546,DUSP8-TRAN,Gene-TRAN
547,DUSP9-TRAN,Gene-TRAN
548,DVL1-TRAN,Gene-TRAN
549,DVL2-TRAN,Gene-TRAN
550,DVL3-TRAN,Gene-TRAN
551,E2F4-TRAN,Gene-TRAN
552,E2F5-TRAN,Gene-TRAN
553,EBAG9-TRAN,Gene-TRAN
554,ECSIT-TRAN,Gene-TRAN
555,EDA-TRAN,Gene-TRAN
556,EDA2R-TRAN,Gene-TRAN
557,EDAR-TRAN,Gene-TRAN
558,EDARADD-TRAN,Gene-TRAN
559,EDN1-TRAN,Gene-TRAN
560,EDN2-TRAN,Gene-TRAN
561,EDN3-TRAN,Gene-TRAN
562,EDNRA-TRAN,Gene-TRAN
563,EDNRB-TRAN,Gene-TRAN
564,EEF2-TRAN,Gene-TRAN
565,EEF2K-TRAN,Gene-TRAN
566,EFCAB7-TRAN,Gene-TRAN
567,EFNA1-TRAN,Gene-TRAN
568,EFNA2-TRAN,Gene-TRAN
569,EFNA3-TRAN,Gene-TRAN
570,EFNA4-TRAN,Gene-TRAN
571,EFNA5-TRAN,Gene-TRAN
572,EGF-TRAN,Gene-TRAN
573,EGFR-TRAN,Gene-TRAN
574,EGLN1-TRAN,Gene-TRAN
575,EGLN2-TRAN,Gene-TRAN
576,EGLN3-TRAN,Gene-TRAN
577,EGR1-TRAN,Gene-TRAN
578,EGR2-TRAN,Gene-TRAN
579,EGR3-TRAN,Gene-TRAN
580,EHHADH-TRAN,Gene-TRAN
581,EI24-TRAN,Gene-TRAN
582,EIF4B-TRAN,Gene-TRAN
583,EIF4E-TRAN,Gene-TRAN
584,EIF4E1B-TRAN,Gene-TRAN
585,EIF4E2-TRAN,Gene-TRAN
586,EIF4EBP1-TRAN,Gene-TRAN
587,ELAVL1-TRAN,Gene-TRAN
588,ELF5-TRAN,Gene-TRAN
589,ELK1-TRAN,Gene-TRAN
590,ELK4-TRAN,Gene-TRAN
591,ELMO1-TRAN,Gene-TRAN
592,ELOB-TRAN,Gene-TRAN
593,ELOC-TRAN,Gene-TRAN
594,ENAH-TRAN,Gene-TRAN
595,ENO1-TRAN,Gene-TRAN
596,ENO2-TRAN,Gene-TRAN
597,ENO3-TRAN,Gene-TRAN
598,ENO4-TRAN,Gene-TRAN
599,EP300-TRAN,Gene-TRAN
600,EPHA2-TRAN,Gene-TRAN
601,EPO-TRAN,Gene-TRAN
602,EPOR-TRAN,Gene-TRAN
603,ERBB2-TRAN,Gene-TRAN
604,ERBB3-TRAN,Gene-TRAN
605,ERBB4-TRAN,Gene-TRAN
606,ERBIN-TRAN,Gene-TRAN
607,EREG-TRAN,Gene-TRAN
608,ESR1-TRAN,Gene-TRAN
609,ESR2-TRAN,Gene-TRAN
610,ESRRB-TRAN,Gene-TRAN
611,ETS1-TRAN,Gene-TRAN
612,ETS2-TRAN,Gene-TRAN
613,EVC-TRAN,Gene-TRAN
614,EVC2-TRAN,Gene-TRAN
615,EVL-TRAN,Gene-TRAN
616,EXOC2-TRAN,Gene-TRAN
617,EXOC7-TRAN,Gene-TRAN
618,F2-TRAN,Gene-TRAN
619,F2R-TRAN,Gene-TRAN
620,F2RL3-TRAN,Gene-TRAN
621,F3-TRAN,Gene-TRAN
622,FABP1-TRAN,Gene-TRAN
623,FABP3-TRAN,Gene-TRAN
624,FABP4-TRAN,Gene-TRAN
625,FADD-TRAN,Gene-TRAN
626,FADS2-TRAN,Gene-TRAN
627,FARP2-TRAN,Gene-TRAN
628,FAS-TRAN,Gene-TRAN
629,FASLG-TRAN,Gene-TRAN
630,FASN-TRAN,Gene-TRAN
631,FAT4-TRAN,Gene-TRAN
632,FBP1-TRAN,Gene-TRAN
633,FBP2-TRAN,Gene-TRAN
634,FBXO25-TRAN,Gene-TRAN
635,FBXO32-TRAN,Gene-TRAN
636,FBXW11-TRAN,Gene-TRAN
637,FCER1A-TRAN,Gene-TRAN
638,FCER1G-TRAN,Gene-TRAN
639,FCGR2B-TRAN,Gene-TRAN
